철도_id,출발시간,도착시간,출발정류장,도착정류장
28,07:23:00,07:26:00,구래,마산
28,07:26:00,07:30:00,마산,장기
28,07:30:00,07:32:00,장기,운양
28,07:32:00,07:37:00,운양,걸포북변
28,07:37:00,07:39:00,걸포북변,사우
28,07:39:00,07:42:00,사우,풍무
28,07:42:00,07:46:00,풍무,고촌
28,07:46:00,07:53:00,고촌,김포공항
29,07:23:00,07:26:00,양촌,구래
29,07:26:00,07:29:00,구래,마산
29,07:29:00,07:33:00,마산,장기
29,07:33:00,07:35:00,장기,운양
29,07:35:00,07:40:00,운양,걸포북변
29,07:40:00,07:42:00,걸포북변,사우
29,07:42:00,07:45:00,사우,풍무
29,07:45:00,07:49:00,풍무,고촌
29,07:49:00,07:56:00,고촌,김포공항
30,07:26:00,07:29:00,양촌,구래
30,07:29:00,07:32:00,구래,마산
30,07:32:00,07:36:00,마산,장기
30,07:36:00,07:39:00,장기,운양
30,07:39:00,07:43:00,운양,걸포북변
30,07:43:00,07:46:00,걸포북변,사우
30,07:46:00,07:48:00,사우,풍무
30,07:48:00,07:53:00,풍무,고촌
30,07:53:00,08:00:00,고촌,김포공항
31,07:29:00,07:32:00,양촌,구래
31,07:32:00,07:35:00,구래,마산
31,07:35:00,07:39:00,마산,장기
31,07:39:00,07:42:00,장기,운양
31,07:42:00,07:46:00,운양,걸포북변
31,07:46:00,07:49:00,걸포북변,사우
31,07:49:00,07:51:00,사우,풍무
31,07:51:00,07:56:00,풍무,고촌
31,07:56:00,08:03:00,고촌,김포공항
32,07:32:00,07:35:00,양촌,구래
32,07:35:00,07:38:00,구래,마산
32,07:38:00,07:42:00,마산,장기
32,07:42:00,07:45:00,장기,운양
32,07:45:00,07:49:00,운양,걸포북변
32,07:49:00,07:52:00,걸포북변,사우
32,07:52:00,07:54:00,사우,풍무
32,07:54:00,07:59:00,풍무,고촌
32,07:59:00,08:06:00,고촌,김포공항
33,07:35:00,07:38:00,양촌,구래
33,07:38:00,07:42:00,구래,마산
